Kco2  (mm/ano^0,5);Tempo (anos);Xc (mm)
2,2;71;18,5375295
2,2;72;18,66761902
2,2;73;18,79680824
2,2;74;18,92511559
2,2;75;19,05255888
2,2;76;19,17915535
2,2;77;19,30492165
2,2;78;19,42987391
2,2;79;19,55402772
2,2;80;19,6773982
2,2;81;19,8
2,2;82;19,9218473
2,2;83;20,04295387
2,2;84;20,16333306
2,2;85;20,28299781
2,2;86;20,40196069
2,2;87;20,52023392
2,2;88;20,63782934
2,2;89;20,75475849
2,2;90;20,87103256
2,2;91;20,98666243
2,2;92;21,1016587
2,2;93;21,21603167
2,2;94;21,32979137
2,2;95;21,44294756
2,2;96;21,55550974
2,2;97;21,66748716
2,2;98;21,77888886
2,2;99;21,88972362
2,2;100;22
2,2;101;22,10972637
2,2;102;22,21891086
2,2;103;22,32756144
2,2;104;22,43568586
2,2;105;22,54329169
2,2;106;22,65038631
2,2;107;22,75697695
2,2;108;22,86307066
2,2;109;22,96867432
2,2;110;23,07379466
2,2;111;23,17843826
2,2;112;23,28261154
2,2;113;23,38632079
2,2;114;23,48957215
2,2;115;23,59237165
2,2;116;23,69472515
2,2;117;23,79663842
2,2;118;23,89811708
2,2;119;23,99916665
2,2;120;24,09979253
2,2;121;24,2
2,2;122;24,29979424
2,2;123;24,39918031
2,2;124;24,4981632
2,2;125;24,59674775
2,2;126;24,69493875
2,2;127;24,79274087
2,2;128;24,8901587
2,2;129;24,98719672
2,2;130;25,08385935
2,2;131;25,18015091
2,2;132;25,27607564
2,2;133;25,37163771
2,2;134;25,46684119
2,2;135;25,56169008
2,2;136;25,65618834
2,2;137;25,7503398
2,2;138;25,84414827
2,2;139;25,93761747
2,2;140;26,03075105
2,2;141;26,12355259
2,2;142;26,21602563
2,2;143;26,30817363
2,2;144;26,4
2,2;145;26,49150807
2,2;146;26,58270114
2,2;147;26,67358244
2,2;148;26,76415513
2,2;149;26,85442235
2,2;150;26,94438717
2,2;151;27,0340526
2,2;152;27,12342161
2,2;153;27,21249713
2,2;154;27,30128202
2,2;155;27,38977912
2,2;156;27,47799119
2,2;157;27,56592099
2,2;158;27,6535712
2,2;159;27,74094447
2,2;160;27,82804341
2,2;161;27,91487059
2,2;162;28,00142853
2,2;163;28,08771974
2,2;164;28,17374664
2,2;165;28,25951167
2,2;166;28,3450172
2,2;167;28,43026556
2,2;168;28,51525907
2,2;169;28,6
2,2;170;28,68449058
2,2;171;28,76873303
2,2;172;28,85272951
2,2;173;28,93648216
2,2;174;29,01999311
2,2;175;29,10326442
2,2;176;29,18629816
2,2;177;29,26909633
2,2;178;29,35166094
2,2;179;29,43399395
2,2;180;29,5160973
2,2;181;29,5979729
2,2;182;29,67962264
2,2;183;29,76104837
2,2;184;29,84225193
2,2;185;29,92323512
2,2;186;30,00399973
2,2;187;30,08454753
2,2;188;30,16488024
2,2;189;30,24499959
2,2;190;30,32490725
2,2;191;30,40460491
2,2;192;30,48409421
2,2;193;30,56337678
2,2;194;30,64245421
2,2;195;30,7213281
2,2;196;30,8
2,2;197;30,87847146
2,2;198;30,95674401
2,2;199;31,03481916
2,2;200;31,11269837
2,2;201;31,19038313
2,2;202;31,26787489
2,2;203;31,34517507
2,2;204;31,42228509
2,2;205;31,49920634
2,2;206;31,57594021
2,2;207;31,65248805
2,2;208;31,72885122
2,2;209;31,80503105
2,2;210;31,88102884
2,2;211;31,9568459
2,2;212;32,03248351
2,2;213;32,10794294
2,2;214;32,18322544
2,2;215;32,25833226
2,2;216;32,3332646
2,2;217;32,4080237
2,2;218;32,48261073
2,2;219;32,55702689
2,2;220;32,63127334
2,2;221;32,70535124
2,2;222;32,77926174
2,2;223;32,85300595
2,2;224;32,926585
2,2;225;33
2,2;226;33,07325203
2,2;227;33,14634218
2,2;228;33,21927152
2,2;229;33,29204109
2,2;230;33,36465195
2,2;231;33,43710514
2,2;232;33,50940167
2,2;233;33,58154255
2,2;234;33,65352879
2,2;235;33,72536138
2,2;236;33,79704129
2,2;237;33,8685695
2,2;238;33,93994697
2,2;239;34,01117463
2,2;240;34,08225345
2,2;241;34,15318433
2,2;242;34,22396821
2,2;243;34,29460599
2,2;244;34,36509857
2,2;245;34,43544685
2,2;246;34,50565171
2,2;247;34,57571402
2,2;248;34,64563465
2,2;249;34,71541444
2,2;250;34,78505426
2,2;251;34,85455494
2,2;252;34,92391731
2,2;253;34,99314219
2,2;254;35,06223039
2,2;255;35,13118273
2,2;256;35,2
2,2;257;35,26868299
2,2;258;35,33723249
2,2;259;35,40564927
2,2;260;35,47393409
2,2;261;35,54208773
2,2;262;35,61011092
2,2;263;35,67800443
2,2;264;35,74576898
2,2;265;35,81340531
2,2;266;35,88091415
2,2;267;35,9482962
2,2;268;36,0155522
2,2;269;36,08268283
2,2;270;36,1496888
2,2;271;36,21657079
2,2;272;36,28332951
2,2;273;36,34996561
2,2;274;36,41647979
2,2;275;36,48287269
2,2;276;36,549145
2,2;277;36,61529735
2,2;278;36,6813304
2,2;279;36,74724479
2,2;280;36,81304117
2,2;281;36,87872015
2,2;282;36,94428237
2,2;283;37,00972845
2,2;284;37,075059
2,2;285;37,14027464
2,2;286;37,20537596
2,2;287;37,27036356
2,2;288;37,33523805
2,2;289;37,4
2,2;290;37,46465001
2,2;291;37,52918864
2,2;292;37,59361648
2,2;293;37,65793409
2,3;294;39,43678486
2,3;295;39,50379729
2,3;296;39,57069623
2,3;297;39,63748226
2,3;298;39,70415595
2,3;299;39,77071787
2,3;300;39,83716857
2,3;1;2,3
2,3;2;3,252691193
2,3;3;3,983716857
2,3;4;4,6
2,3;5;5,142956348
2,3;6;5,633826408
2,3;7;6,085228015
2,3;8;6,505382387
2,3;9;6,9
2,3;10;7,273238618
2,3;11;7,628237018
2,3;12;7,967433715
2,3;13;8,292767934
2,3;14;8,60581199
2,3;15;8,907861696
2,3;16;9,2
2,3;17;9,483142939
2,3;18;9,75807358
2,3;19;10,02546757
2,3;20;10,2859127
2,3;21;10,5399241
2,3;22;10,78795625
2,3;23;11,0304125
2,3;24;11,26765282
2,3;25;11,5
2,3;26;11,72774488
2,3;27;11,95115057
2,3;28;12,17045603
2,3;29;12,38587906
2,3;30;12,59761882
2,3;31;12,80585803
2,3;32;13,01076477
2,3;33;13,21249409
2,3;34;13,41118936
2,3;35;13,6069835
2,3;36;13,8
2,3;37;13,99035382
2,3;38;14,17815221
2,3;39;14,3634954
2,3;40;14,54647724
2,3;41;14,72718575
2,3;42;14,90570361
2,3;43;15,08210861
2,3;44;15,25647404
2,3;45;15,42886904
2,3;46;15,59935896
2,3;47;15,76800558
2,3;48;15,93486743
2,3;49;16,1
2,3;50;16,26345597
2,3;51;16,42528539
2,3;52;16,58553587
2,3;53;16,74425275
2,3;54;16,90147923
2,3;55;17,05725652
2,3;56;17,21162398
2,3;57;17,3646192
2,3;58;17,51627814
2,3;59;17,66663522
2,3;60;17,81572339
2,3;61;17,96357425
2,3;62;18,11021811
2,3;63;18,25568405
2,3;64;18,4
2,3;65;18,54319282
2,3;66;18,68528833
2,3;67;18,82631138
2,3;68;18,96628588
2,3;69;19,10523488
2,3;70;19,24318061
2,3;71;19,38014448
2,3;72;19,51614716
2,3;73;19,65120861
2,3;74;19,78534811
2,3;75;19,91858429
2,3;76;20,05093514
2,3;77;20,18241809
2,3;78;20,31304999
2,3;79;20,44284716
2,3;80;20,57182539
2,3;81;20,7
2,3;82;20,82738582
2,3;83;20,95399723
2,3;84;21,0798482
2,3;85;21,20495225
2,3;86;21,32932254
2,3;87;21,45297182
2,3;88;21,5759125
2,3;89;21,6981566
2,3;90;21,81971586
2,3;91;21,94060163
2,3;92;22,06082501
2,3;93;22,18039675
2,3;94;22,29932734
2,3;95;22,41762699
2,3;96;22,53530563
2,3;97;22,65237294
2,3;98;22,76883835
2,3;99;22,88471105
2,3;100;23
2,3;101;23,11471393
2,3;102;23,22886136
2,3;103;23,3424506
2,3;104;23,45548976
2,3;105;23,56798676
2,3;106;23,67994932
2,3;107;23,791385
2,3;108;23,90230114
2,3;109;24,01270497
2,3;110;24,12260351
2,3;111;24,23200363
2,3;112;24,34091206
2,3;113;24,44933537
2,3;114;24,55727998
2,3;115;24,66475218
2,3;116;24,77175811
2,3;117;24,8783038
2,3;118;24,98439513
2,3;119;25,09003786
2,3;120;25,19523765
2,3;121;25,3
2,3;122;25,40433034
2,3;123;25,50823396
2,3;124;25,61171607
2,3;125;25,71478174
2,3;126;25,81743597
2,3;127;25,91968364
2,3;128;26,02152955
2,3;129;26,12297839
2,3;130;26,22403478
2,3;131;26,32470323
2,3;132;26,42498817
2,3;133;26,52489397
2,3;134;26,62442488
2,3;135;26,72358509
2,3;136;26,82237872
2,3;137;26,92080979
2,3;138;27,01888229
2,3;139;27,11660008
2,3;140;27,213967
2,3;141;27,3109868
2,3;142;27,40766316
2,3;143;27,50399971
2,3;144;27,6
2,3;145;27,69566753
