Ano;Tempo de Exposição (s)  (t);"RHreal: Média da umidade relativa da camada carbonatada [%];";"RHref: umidade relativa de referência [%];";Expoente fe [-] ;Expoente ge [-] ;"Ke = Coeficiente ambiental [adimensional];";"bc: expoente da regressão [-]; ";tc: período de cura [d].;"Kc = Coeficiente de condição de cura [adimensional];";Cs = Concentração de CO2 no ar – [%];"W(t) = Coeficiente climático [adimensional];";DCO2 = Coeficiente de difusão no concreto carbonatado;a = Teor de CO2 em 1m³ de concreto;Rc = Resistência  à carbonatação natural do concreto (mm²/anos) /(kg/m³).;Xc (t) Profundidade de carbonatação (mm)
61;1923696000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,250003333;8,913E-08;68,02521;1,31E-09;17,239256
62;1955232000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,249160959;8,913E-08;68,02521;1,31E-09;17,321426
63;1986768000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,248334834;8,913E-08;68,02521;1,31E-09;17,402664
64;2018304000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,247524394;8,913E-08;68,02521;1,31E-09;17,482994
65;2049840000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,246729103;8,913E-08;68,02521;1,31E-09;17,562441
66;2081376000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,245948452;8,913E-08;68,02521;1,31E-09;17,641027
67;2112912000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,245181955;8,913E-08;68,02521;1,31E-09;17,718776
68;2144448000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,244429149;8,913E-08;68,02521;1,31E-09;17,795708
69;2175984000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,243689595;8,913E-08;68,02521;1,31E-09;17,871843
70;2207520000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,242962873;8,913E-08;68,02521;1,31E-09;17,947202
71;2239056000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,242248579;8,913E-08;68,02521;1,31E-09;18,021802
72;2270592000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,241546333;8,913E-08;68,02521;1,31E-09;18,095663
73;2302128000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,240855767;8,913E-08;68,02521;1,31E-09;18,168802
74;2333664000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,24017653;8,913E-08;68,02521;1,31E-09;18,241235
75;2365200000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,239508289;8,913E-08;68,02521;1,31E-09;18,312979
76;2396736000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,238850721;8,913E-08;68,02521;1,31E-09;18,384049
77;2428272000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,238203519;8,913E-08;68,02521;1,31E-09;18,454460
78;2459808000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,237566388;8,913E-08;68,02521;1,31E-09;18,524227
79;2491344000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,236939046;8,913E-08;68,02521;1,31E-09;18,593365
80;2522880000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,23632122;8,913E-08;68,02521;1,31E-09;18,661886
81;2554416000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,23571265;8,913E-08;68,02521;1,31E-09;18,729803
82;2585952000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,235113087;8,913E-08;68,02521;1,31E-09;18,797130
83;2617488000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,234522288;8,913E-08;68,02521;1,31E-09;18,863878
84;2649024000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,233940023;8,913E-08;68,02521;1,31E-09;18,930060
85;2680560000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,233366069;8,913E-08;68,02521;1,31E-09;18,995686
86;2712096000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,232800211;8,913E-08;68,02521;1,31E-09;19,060768
87;2743632000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,232242244;8,913E-08;68,02521;1,31E-09;19,125318
88;2775168000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,231691968;8,913E-08;68,02521;1,31E-09;19,189344
89;2806704000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,231149192;8,913E-08;68,02521;1,31E-09;19,252857
90;2838240000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,230613731;8,913E-08;68,02521;1,31E-09;19,315868
91;2869776000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,230085407;8,913E-08;68,02521;1,31E-09;19,378385
92;2901312000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,229564047;8,913E-08;68,02521;1,31E-09;19,440418
93;2932848000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,229049486;8,913E-08;68,02521;1,31E-09;19,501975
94;2964384000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,228541564;8,913E-08;68,02521;1,31E-09;19,563066
95;2995920000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,228040125;8,913E-08;68,02521;1,31E-09;19,623699
96;3027456000;67,56;65,00;5,00;2,50;1,62070;-0,567;3,00;1,61675;0,03600;0,22754502;8,913E-08;68,02521;1,31E-09;19,683882
